userid,questionid,response
9,7,3
12,7,2
14,7,4
16,8,3
11,10,4
15,8,2
15,9,2
17,11,1
15,7,3
15,10,1
15,11,3
11,7,4
15,12,3
17,8,2
11,12,4
17,12,3
18,7,2
18,8,2
18,9,2
18,11,1
18,12,3
18,10,3
19,8,2
19,13,1
19,7,3
19,9,2
19,11,1
19,12,3
19,10,1
19,14,3
19,15,4
9,9,2
9,14,4
16,13,3
16,7,1
16,15,2
16,11,1
16,12,3
16,10,1
16,9,2
23,8,3
22,9,2
16,17,4
23,9,2
22,13,1
22,16,3
16,16,2
19,17,3
19,16,3
24,16,1
24,17,4
24,7,3
24,9,2
25,14,1
25,17,4
25,16,3
16,18,4
25,18,3
18,17,1
25,9,4
25,12,4
16,21,1
16,20,1
25,20,1
18,18,3
24,21,1
25,21,2
16,14,1
22,19,1
24,11,3
25,15,1
18,20,1
18,13,2
22,20,1
24,8,3
25,7,1
25,23,1
18,24,2
18,19,1
25,24,4
24,25,2
16,24,1
25,25,2
24,23,4
16,23,1
27,18,4
27,16,4
27,20,4
27,15,2
27,10,1
26,17,1
27,19,2
26,18,4
26,16,1
26,20,1
24,27,4
28,17,1
28,18,4
28,20,1
28,24,2
28,19,2
26,15,1
26,8,4
26,25,2
26,24,4
26,30,2
28,16,1
28,29,1
26,23,2
11,30,1
22,8,3
22,30,2
22,17,1
24,24,4
16,29,1
24,12,4
24,14,1
16,27,4
16,25,2
26,9,4
11,25,2
29,17,1
29,8,4
11,29,1
29,19,1
12,29,2
29,20,1
29,25,2
29,23,1
11,27,1
29,27,1
19,18,2
19,29,2
19,30,2
19,20,1
19,27,1
19,24,3
19,25,2
30,11,1
30,14,2
30,31,4
30,21,1
30,19,2
11,24,3
26,19,2
26,14,4
12,32,1
18,16,4
18,14,1
18,32,4
11,32,1
11,16,2
9,18,1
9,29,2
9,16,4
9,15,2
9,10,2
9,13,3
9,25,1
9,23,1
31,23,1
31,18,4
31,16,3
9,24,3
31,13,2
9,11,1
32,17,1
32,18,1
32,29,1
32,30,1
32,16,3
32,8,4
32,20,1
32,13,1
32,15,4
32,7,4
32,14,3
32,25,1
32,9,3
32,23,1
32,27,4
32,11,1
32,24,2
32,12,3
32,10,1
32,19,4
32,21,1
32,31,4
32,32,1
29,31,4
32,34,2
19,32,4
9,17,1
9,33,1
9,20,3
33,17,3
33,18,4
33,29,1
33,30,1
33,16,3
33,33,1
33,8,2
33,20,3
33,13,1
33,15,1
33,7,1
33,14,4
33,32,2
33,34,1
33,31,3
33,19,2
33,21,1
33,10,1
33,12,3
33,24,2
33,11,4
33,25,2
33,27,1
33,23,2
33,9,4
33,35,1
34,17,1
34,18,4
34,35,1
34,29,2
34,30,2
34,16,3
34,33,2
34,8,1
34,20,3
34,15,1
34,7,3
34,14,3
34,25,2
34,9,2
34,23,1
34,27,2
34,11,4
34,24,4
34,12,3
34,10,1
34,19,1
34,34,1
